,bankruptcy,bad,app_id,tot_derog,tot_tr,age_oldest_tr,tot_open_tr,tot_rev_tr,tot_rev_debt,tot_rev_line,rev_util,bureau_score,purch_price,msrp,down_pyt,purpose,loan_term,loan_amt,ltv,tot_income,used_ind,weight
17,0.0,0.0,1023.0,0.0,24.0,377.0,5.0,3.0,915.0,51400.0,2.0,791.0,35900.0,38119.0,11500.0,b'LOAN',60.0,20095.0,64.0,8500.0,1.0,4.75
18,0.0,0.0,1027.0,0.0,28.0,99.0,4.0,2.0,7859.0,23149.0,34.0,756.0,14752.5,14615.0,0.0,b'LOAN',72.0,14887.5,102.0,3600.0,0.0,4.75
19,1.0,0.0,1028.0,6.0,15.0,147.0,4.0,3.0,1687.0,4618.0,37.0,724.0,31224.27,27895.0,0.0,b'LEASE',39.0,31074.11,112.0,3333.33,0.0,4.75
20,0.0,0.0,1031.0,0.0,25.0,179.0,6.0,4.0,5039.0,13400.0,38.0,664.0,26845.0,29500.0,0.0,b'LEASE',48.0,26806.64,91.0,5942.0,0.0,4.75
21,0.0,0.0,1032.0,1.0,8.0,61.0,3.0,1.0,357.0,6900.0,5.0,719.0,17891.73,17900.0,0.0,b'LEASE',63.0,17891.73,100.0,3300.0,1.0,4.75
22,0.0,0.0,1033.0,0.0,4.0,77.0,,,,,0.0,782.0,28296.0,26755.0,100.0,b'LOAN',72.0,28331.0,106.0,2900.0,1.0,4.75
23,0.0,0.0,1034.0,2.0,20.0,276.0,,2.0,659.0,5485.0,12.0,689.0,28297.49,19200.0,8297.49,b'LEASE',63.0,25592.510000000002,133.0,4200.0,1.0,4.75
24,0.0,0.0,1035.0,1.0,39.0,252.0,4.0,0.0,0.0,20800.0,0.0,791.0,17862.5,16800.0,4000.0,b'LOAN',60.0,13648.5,83.0,8333.34,0.0,4.75
25,0.0,0.0,1036.0,,,,,,,,0.0,721.0,15490.0,14435.0,1900.0,b'LOAN',66.0,13485.19,94.0,6700.0,0.0,4.75
26,0.0,0.0,1038.0,1.0,28.0,283.0,9.0,5.0,2074.0,33330.0,6.0,732.0,13470.0,13500.0,0.0,b'LOAN',60.0,13515.5,100.0,4333.33,1.0,4.75
27,0.0,0.0,1039.0,0.0,11.0,78.0,8.0,2.0,1941.0,12000.0,16.0,768.0,29445.0,27593.0,3000.0,b'LEASE',60.0,26445.0,96.0,3275.0,0.0,4.75
28,1.0,1.0,1041.0,8.0,16.0,195.0,5.0,4.0,2602.0,1414.0,100.0,664.0,19616.0,20219.0,0.0,b'LEASE',63.0,20479.93,101.0,2400.0,0.0,1.0
29,0.0,1.0,1042.0,1.0,3.0,49.0,3.0,1.0,316.0,702.0,45.0,647.0,26720.0,23750.0,4720.0,b'LEASE',60.0,26018.05,110.0,3750.0,1.0,1.0
30,0.0,0.0,1043.0,0.0,10.0,185.0,3.0,2.0,5707.0,10030.0,57.0,697.0,10822.0,9400.0,500.0,b'LOAN',54.0,11842.7,126.0,2650.0,1.0,4.75
31,0.0,0.0,1044.0,0.0,25.0,202.0,8.0,4.0,2452.0,52353.0,5.0,713.0,38970.0,36689.0,1.0,b'LEASE',60.0,38969.0,106.0,5000.0,0.0,4.75
32,0.0,0.0,1045.0,0.0,18.0,83.0,3.0,2.0,16308.0,19000.0,86.0,689.0,30559.0,37480.0,3900.0,b'LEASE',48.0,30559.75,82.0,5000.0,0.0,4.75
33,0.0,0.0,1046.0,0.0,4.0,84.0,,2.0,1321.0,22908.0,6.0,710.0,24659.0,19500.0,4200.0,b'LOAN',66.0,21416.31,110.0,1780.0,1.0,4.75
34,0.0,0.0,1047.0,0.0,21.0,163.0,5.0,4.0,6795.0,30200.0,23.0,711.0,25973.43,23305.0,0.0,b'LEASE',60.0,25973.43,111.0,4164.0,0.0,4.75
35,0.0,0.0,1048.0,0.0,18.0,200.0,,2.0,1658.0,25900.0,6.0,795.0,9644.0,8000.0,2000.0,b'LOAN',60.0,9224.800000000001,115.0,3000.0,1.0,4.75
36,0.0,0.0,1050.0,1.0,23.0,110.0,4.0,2.0,19065.0,19106.0,100.0,713.0,32775.0,25212.0,0.0,b'LEASE',60.0,35140.6,139.0,5666.66,0.0,4.75
37,0.0,0.0,1051.0,1.0,33.0,197.0,8.0,5.0,6922.0,53254.0,13.0,734.0,23001.0,26565.0,0.0,b'LEASE',63.0,21349.75,87.0,3520.0,0.0,4.75
38,0.0,0.0,1052.0,0.0,11.0,119.0,4.0,1.0,25.0,500.0,5.0,761.0,13708.0,11975.0,0.0,b'LOAN',60.0,15063.300000000001,126.0,1291.67,1.0,4.75
39,0.0,1.0,1054.0,4.0,27.0,288.0,7.0,4.0,875.0,13948.0,6.0,717.0,39135.61,31115.0,1776.48,b'LEASE',63.0,37359.13,120.0,7666.0,0.0,1.0
40,0.0,0.0,1055.0,7.0,7.0,,,,,,0.0,,21039.71,17650.0,11500.0,b'LOAN',60.0,11898.710000000001,67.0,4000.0,1.0,4.75
41,0.0,0.0,1056.0,0.0,1.0,23.0,,,,,0.0,524.0,23711.0,23400.0,1000.0,b'LOAN',60.0,22084.87,97.0,3200.0,1.0,4.75
42,0.0,0.0,1057.0,2.0,14.0,191.0,,5.0,8148.0,23755.0,34.0,698.0,15500.0,16200.0,500.0,b'LOAN',66.0,16811.7,104.0,2700.0,1.0,4.75
43,0.0,0.0,1058.0,6.0,28.0,128.0,8.0,1.0,1654.0,2000.0,83.0,670.0,4580.0,3600.0,1000.0,b'LOAN',24.0,3989.9700000000003,111.0,5541.67,1.0,4.75
44,0.0,0.0,1060.0,0.0,13.0,304.0,,3.0,2706.0,35475.0,8.0,779.0,21162.41,20480.0,4280.0,b'LEASE',36.0,16882.41,82.0,5833.34,1.0,4.75
45,0.0,0.0,1061.0,1.0,16.0,158.0,4.0,2.0,886.0,9675.0,9.0,818.0,27792.84,30878.0,6200.0,b'LEASE',48.0,21592.84,70.0,4416.67,0.0,4.75
46,0.0,0.0,1062.0,0.0,21.0,189.0,5.0,2.0,1703.0,6523.0,26.0,781.0,9535.0,8375.0,500.0,b'LOAN',60.0,9160.75,109.0,8500.0,1.0,4.75
47,0.0,0.0,1063.0,1.0,14.0,230.0,,3.0,2700.0,26601.0,10.0,713.0,23344.98,23805.0,2000.0,b'LOAN',72.0,22361.98,94.0,6666.67,0.0,4.75
48,0.0,1.0,1065.0,0.0,5.0,27.0,,,,,0.0,618.0,18723.9,17925.0,1656.77,b'LEASE',60.0,17900.0,100.0,2500.0,1.0,1.0
49,0.0,0.0,1066.0,0.0,27.0,362.0,,3.0,480.0,45895.0,1.0,781.0,10142.0,10000.0,2000.0,b'LOAN',24.0,8277.25,83.0,7541.67,1.0,4.75
50,0.0,1.0,1067.0,1.0,25.0,166.0,5.0,2.0,2849.0,30995.0,9.0,805.0,29648.15,24570.0,0.0,b'LEASE',63.0,28022.64,121.0,4460.0,0.0,1.0
51,0.0,1.0,1068.0,0.0,13.0,193.0,5.0,2.0,4036.0,6360.0,63.0,812.0,9699.59,7750.0,0.0,b'LOAN',54.0,11754.91,152.0,1800.0,1.0,1.0
52,0.0,0.0,1069.0,0.0,43.0,290.0,11.0,9.0,38374.0,60939.0,63.0,666.0,28427.38,31995.0,0.0,b'LEASE',60.0,28427.38,89.0,18750.0,1.0,4.75
53,0.0,0.0,1070.0,1.0,46.0,364.0,6.0,2.0,2465.0,24700.0,10.0,804.0,29351.7,26561.0,621.5,b'LEASE',63.0,28730.2,108.0,5416.67,0.0,4.75
54,0.0,0.0,1071.0,0.0,22.0,98.0,4.0,2.0,4045.0,17291.0,23.0,745.0,13536.0,16945.0,0.0,b'LEASE',60.0,13536.27,80.0,4000.0,1.0,4.75
55,1.0,0.0,1072.0,5.0,18.0,126.0,,,9998.0,0.0,0.0,617.0,12181.0,16159.0,0.0,b'LEASE',60.0,13151.0,81.0,3153.58,0.0,4.75
56,0.0,0.0,1075.0,1.0,10.0,156.0,3.0,1.0,986.0,36500.0,3.0,715.0,38683.0,37005.0,819.0,b'LEASE',36.0,38683.36,105.0,6500.0,0.0,4.75
57,0.0,0.0,1077.0,1.0,12.0,96.0,4.0,2.0,2716.0,7000.0,39.0,683.0,16610.0,14895.0,2000.0,b'LOAN',66.0,14775.58,99.0,2500.0,0.0,4.75
58,0.0,1.0,1079.0,3.0,14.0,305.0,4.0,2.0,6441.0,6700.0,96.0,559.0,10700.0,13575.0,0.0,b'LOAN',54.0,11795.11,87.0,2041.67,1.0,1.0
59,0.0,0.0,1080.0,1.0,13.0,87.0,9.0,7.0,4932.0,8235.0,60.0,644.0,41135.0,36617.0,4535.0,b'LEASE',63.0,41305.67,113.0,4166.67,0.0,4.75
60,0.0,0.0,1084.0,0.0,15.0,209.0,3.0,2.0,445.0,24900.0,2.0,771.0,24237.0,19000.0,11888.0,b'LOAN',60.0,12439.58,65.0,2833.33,0.0,4.75
61,0.0,0.0,1085.0,0.0,12.0,220.0,4.0,2.0,12383.0,26741.0,46.0,755.0,20713.63,18600.0,1000.0,b'LOAN',48.0,19288.63,106.0,4000.0,1.0,4.75
62,1.0,0.0,1087.0,1.0,20.0,152.0,9.0,8.0,2566.0,7270.0,35.0,681.0,11717.0,10975.0,500.0,b'LOAN',66.0,11794.0,107.0,2000.0,1.0,4.75
63,0.0,0.0,1089.0,0.0,16.0,86.0,,7.0,6876.0,51708.0,13.0,698.0,13333.56,17002.0,0.0,b'LEASE',60.0,14303.550000000001,84.0,2000.0,0.0,4.75
64,0.0,0.0,1090.0,0.0,6.0,138.0,,2.0,231.0,31500.0,1.0,800.0,11625.0,10975.0,1200.0,b'LOAN',60.0,10566.5,96.0,3108.33,1.0,4.75
65,0.0,0.0,1091.0,0.0,5.0,30.0,5.0,2.0,1910.0,1974.0,97.0,,0.0,18375.0,0.0,b'LEASE',63.0,22177.5,121.0,4125.0,0.0,4.75
66,0.0,1.0,1092.0,1.0,15.0,39.0,9.0,5.0,5914.0,7404.0,80.0,640.0,21236.3,21713.0,0.0,b'LEASE',63.0,21236.3,98.0,1800.0,0.0,1.0
67,0.0,1.0,1093.0,5.0,13.0,152.0,4.0,3.0,504.0,1998.0,25.0,660.0,18200.0,18800.0,0.0,b'LEASE',63.0,18945.0,101.0,4300.0,0.0,1.0
68,0.0,0.0,1094.0,0.0,2.0,23.0,,,9998.0,0.0,0.0,622.0,21834.0,24260.0,0.0,b'LEASE',63.0,24504.0,101.0,333.33,0.0,4.75
69,0.0,0.0,1095.0,21.0,27.0,48.0,,,,,0.0,617.0,10855.0,10900.0,0.0,b'LOAN',54.0,11404.6,105.0,1600.0,1.0,4.75
70,1.0,0.0,1096.0,1.0,20.0,142.0,16.0,4.0,3203.0,3379.0,95.0,707.0,24924.0,19000.0,9100.0,b'LOAN',66.0,17177.71,90.0,4778.0,1.0,4.75
71,1.0,0.0,1097.0,4.0,10.0,167.0,,,9998.0,9998.0,100.0,706.0,15020.19,11150.0,2700.0,b'LOAN',60.0,13785.19,124.0,2600.0,1.0,4.75
72,0.0,0.0,1098.0,0.0,3.0,18.0,,,9998.0,0.0,0.0,705.0,18709.57,16305.0,429.52,b'LEASE',60.0,18280.05,112.0,1400.0,0.0,4.75
73,0.0,0.0,1099.0,0.0,22.0,76.0,6.0,2.0,6778.0,46400.0,15.0,708.0,17669.260000000002,17050.0,1600.0,b'LOAN',66.0,16689.25,98.0,3083.33,0.0,4.75
74,0.0,0.0,1100.0,0.0,36.0,307.0,12.0,10.0,33358.0,144985.0,23.0,752.0,37077.85,38546.0,1381.88,b'LEASE',60.0,35695.97,93.0,7625.0,0.0,4.75
75,0.0,0.0,1101.0,16.0,20.0,99.0,,3.0,3687.0,4569.0,81.0,673.0,10805.41,9525.0,7800.0,b'LOAN',24.0,3100.41,33.0,2117.0,1.0,4.75
76,1.0,0.0,1102.0,5.0,10.0,84.0,2.0,2.0,1961.0,3000.0,65.0,654.0,6300.0,5500.0,820.0,b'LOAN',48.0,5607.75,102.0,1852.0,1.0,4.75
77,0.0,0.0,1103.0,0.0,22.0,192.0,,5.0,4160.0,16233.0,26.0,758.0,11656.45,9750.0,1856.45,b'LOAN',60.0,9952.0,102.0,1500.0,1.0,4.75
78,0.0,0.0,1104.0,0.0,30.0,317.0,9.0,0.0,0.0,11600.0,0.0,750.0,37229.44,32080.0,500.0,b'LEASE',60.0,36649.01,114.0,3000.0,0.0,4.75
79,0.0,1.0,1105.0,3.0,16.0,148.0,6.0,2.0,2830.0,600.0,100.0,704.0,35389.65,29420.0,705.1800000000001,b'LEASE',60.0,34684.47,118.0,7333.34,0.0,1.0
80,0.0,0.0,1106.0,0.0,14.0,125.0,,2.0,6925.0,19920.0,35.0,726.0,31877.0,28135.0,0.0,b'LEASE',63.0,31877.0,113.0,3166.67,0.0,4.75
81,0.0,0.0,1108.0,0.0,19.0,153.0,4.0,2.0,16897.0,37800.0,45.0,742.0,27713.0,30290.0,2500.0,b'LEASE',63.0,26383.97,87.0,5416.67,0.0,4.75
82,0.0,0.0,1109.0,,,,,,,,0.0,766.0,17449.0,14250.0,4000.0,b'LOAN',60.0,14340.51,101.0,3350.0,1.0,4.75
83,0.0,0.0,1110.0,1.0,6.0,67.0,4.0,3.0,5802.0,8000.0,73.0,612.0,6860.650000000001,7400.0,700.0,b'LOAN',48.0,7255.650000000001,98.0,5000.0,1.0,4.75
84,0.0,0.0,1111.0,0.0,5.0,408.0,,0.0,0.0,24310.0,0.0,771.0,19591.0,19245.0,8000.0,b'LOAN',60.0,11686.92,61.0,3500.0,0.0,4.75
85,0.0,0.0,1112.0,11.0,13.0,17.0,,,,,0.0,614.0,19757.23,21000.0,1272.23,b'LOAN',66.0,21656.64,103.0,3083.33,1.0,4.75
86,0.0,1.0,1115.0,2.0,7.0,87.0,,2.0,675.0,1423.0,47.0,709.0,1.0,22270.0,0.0,b'LEASE',48.0,33218.75,149.0,6986.66,1.0,1.0
87,0.0,0.0,1116.0,17.0,25.0,115.0,6.0,1.0,679.0,2800.0,24.0,705.0,19220.0,22000.0,0.0,b'LEASE',48.0,19926.260000000002,91.0,5420.0,1.0,4.75
88,0.0,0.0,1120.0,0.0,37.0,128.0,9.0,6.0,32855.0,45929.0,72.0,766.0,27625.5,28118.0,2000.0,b'LEASE',60.0,25625.5,91.0,8750.0,0.0,4.75
89,0.0,0.0,1121.0,0.0,5.0,84.0,2.0,1.0,160.0,720.0,22.0,730.0,16220.0,15836.0,750.0,b'LEASE',60.0,15470.0,98.0,2083.33,0.0,4.75
90,0.0,0.0,1123.0,3.0,15.0,139.0,5.0,3.0,4442.0,1488.0,100.0,678.0,20191.0,18950.0,1253.0,b'LOAN',66.0,19073.19,101.0,2741.66,0.0,4.75
91,0.0,0.0,1124.0,0.0,5.0,31.0,5.0,2.0,484.0,5212.0,9.0,742.0,16604.0,14625.0,1.0,b'LOAN',66.0,17213.75,118.0,0.0,0.0,4.75
92,0.0,1.0,1125.0,3.0,7.0,127.0,4.0,2.0,2203.0,2250.0,98.0,653.0,23450.0,20056.0,3394.0,b'LEASE',63.0,24730.68,123.0,3500.0,0.0,1.0
93,0.0,0.0,1127.0,1.0,36.0,230.0,14.0,6.0,14805.0,36815.0,40.0,736.0,15810.0,16000.0,0.0,b'LOAN',60.0,17075.95,107.0,7500.0,1.0,4.75
94,0.0,0.0,1128.0,1.0,19.0,130.0,5.0,3.0,1848.0,9852.0,19.0,707.0,19941.0,21390.0,3100.0,b'LOAN',60.0,17023.81,80.0,37000.0,0.0,4.75
95,1.0,0.0,1131.0,10.0,20.0,154.0,,4.0,1906.0,2126.0,90.0,655.0,15249.0,13950.0,2000.0,b'LOAN',54.0,14669.35,105.0,4416.67,1.0,4.75
96,0.0,1.0,1132.0,1.0,28.0,146.0,10.0,1.0,743.0,3800.0,20.0,642.0,24995.0,23275.0,2000.0,b'LEASE',39.0,22995.0,99.0,5350.0,1.0,1.0
97,0.0,0.0,1133.0,0.0,23.0,118.0,,7.0,4238.0,47643.0,9.0,740.0,22610.0,20150.0,2500.0,b'LEASE',36.0,21122.79,105.0,3333.33,1.0,4.75
98,0.0,0.0,1134.0,1.0,29.0,264.0,4.0,2.0,205.0,24350.0,1.0,696.0,15846.36,19250.0,0.0,b'LEASE',36.0,16143.66,84.0,1500.0,1.0,4.75
99,0.0,0.0,1135.0,2.0,27.0,235.0,,3.0,1745.0,60784.0,3.0,701.0,9617.0,8800.0,4000.0,b'LOAN',36.0,6819.0,77.0,4500.0,1.0,4.75
100,0.0,0.0,1136.0,0.0,19.0,255.0,6.0,3.0,5933.0,13546.0,44.0,726.0,21054.4,19500.0,300.0,b'LOAN',66.0,20186.36,106.0,2537.0,1.0,4.75
101,1.0,1.0,1137.0,3.0,15.0,121.0,4.0,1.0,337.0,1361.0,25.0,583.0,16693.920000000002,16975.0,0.0,b'LEASE',51.0,16693.920000000002,98.0,3800.0,1.0,1.0
102,0.0,0.0,1138.0,0.0,20.0,98.0,7.0,2.0,2157.0,13748.0,16.0,748.0,26076.0,19800.0,4542.0,b'LOAN',66.0,23594.06,119.0,3250.0,1.0,4.75
103,0.0,0.0,1140.0,2.0,15.0,86.0,4.0,3.0,6800.0,9405.0,72.0,685.0,29010.0,29000.0,0.0,b'LOAN',72.0,30740.16,106.0,6666.67,0.0,4.75
104,0.0,0.0,1141.0,1.0,22.0,324.0,5.0,4.0,6586.0,19398.0,34.0,679.0,26300.0,19800.0,6500.0,b'LEASE',36.0,14085.0,100.0,11250.0,1.0,4.75
105,0.0,0.0,1142.0,0.0,6.0,36.0,4.0,2.0,616.0,4237.0,15.0,704.0,26589.0,29000.0,0.0,b'LOAN',66.0,26631.4,92.0,2500.0,1.0,4.75
106,0.0,0.0,1143.0,6.0,15.0,46.0,5.0,4.0,4019.0,2695.0,100.0,623.0,16905.0,17100.0,0.0,b'LEASE',63.0,16905.0,99.0,2083.33,1.0,4.75
107,0.0,0.0,1144.0,0.0,4.0,60.0,,3.0,1534.0,7200.0,21.0,751.0,37797.0,42266.0,7500.0,b'LOAN',72.0,32436.39,77.0,5860.0,0.0,4.75
108,0.0,0.0,1147.0,0.0,44.0,209.0,7.0,3.0,10794.0,26149.0,41.0,696.0,25780.0,29687.0,18000.0,b'LOAN',60.0,7915.37,27.0,40300.0,1.0,4.75
109,0.0,1.0,1148.0,2.0,11.0,94.0,6.0,4.0,6707.0,6600.0,100.0,689.0,17500.0,15400.0,1000.0,b'LOAN',66.0,18101.34,118.0,4833.33,1.0,1.0
110,0.0,0.0,1149.0,0.0,17.0,194.0,2.0,1.0,471.0,10900.0,4.0,802.0,16653.6,17975.0,353.6,b'LOAN',60.0,16460.0,92.0,2583.0,1.0,4.75
111,0.0,0.0,1150.0,0.0,10.0,87.0,3.0,2.0,1121.0,17700.0,6.0,787.0,31012.0,32758.0,7500.0,b'LOAN',60.0,23647.46,72.0,7150.0,1.0,4.75
112,0.0,1.0,1152.0,4.0,8.0,41.0,,2.0,1862.0,2200.0,85.0,634.0,9154.0,8675.0,500.0,b'LOAN',48.0,9057.0,104.0,2068.0,1.0,1.0
113,0.0,1.0,1153.0,2.0,3.0,132.0,,,9998.0,9998.0,100.0,,30604.0,35700.0,8200.0,b'LOAN',60.0,22499.05,63.0,5697.0,0.0,1.0
114,0.0,0.0,1154.0,0.0,23.0,138.0,7.0,4.0,15728.0,20600.0,76.0,718.0,24763.0,22097.0,0.0,b'LEASE',60.0,25308.07,115.0,3166.67,0.0,4.75
115,0.0,0.0,1156.0,0.0,19.0,232.0,10.0,4.0,6379.0,12821.0,50.0,700.0,22635.0,17640.0,0.0,b'LEASE',63.0,24209.0,137.0,5166.67,0.0,4.75
116,0.0,0.0,1157.0,0.0,20.0,246.0,6.0,4.0,3339.0,37165.0,9.0,773.0,20744.0,18660.0,882.0,b'LOAN',72.0,20056.04,107.0,5250.0,0.0,4.75
117,0.0,0.0,1158.0,0.0,17.0,174.0,5.0,4.0,9491.0,47324.0,20.0,701.0,16897.0,17000.0,2385.0,b'LEASE',36.0,15562.0,92.0,3166.67,1.0,4.75
118,0.0,0.0,1159.0,2.0,14.0,236.0,4.0,2.0,295.0,3400.0,9.0,764.0,25495.0,24005.0,0.0,b'LOAN',60.0,28074.920000000002,117.0,1400.0,1.0,4.75
119,0.0,1.0,1160.0,1.0,23.0,115.0,4.0,3.0,16003.0,22500.0,71.0,658.0,30704.75,28540.0,2204.75,b'LEASE',63.0,29047.93,102.0,2660.0,0.0,1.0
120,0.0,0.0,1161.0,1.0,35.0,231.0,10.0,5.0,10459.0,41340.0,25.0,674.0,22818.59,25193.0,3358.57,b'LEASE',36.0,19460.02,77.0,5000.0,1.0,4.75
121,0.0,0.0,1162.0,1.0,28.0,225.0,8.0,5.0,5629.0,43579.0,13.0,718.0,7000.0,6150.0,2000.0,b'LOAN',54.0,6819.75,111.0,3800.0,1.0,4.75
122,0.0,1.0,1163.0,0.0,5.0,144.0,,2.0,3161.0,5400.0,59.0,713.0,13388.0,14554.0,0.0,b'LEASE',36.0,13388.0,92.0,3750.0,1.0,1.0
123,0.0,0.0,1164.0,0.0,21.0,51.0,,6.0,16183.0,47781.0,34.0,654.0,14377.0,16145.0,0.0,b'LEASE',51.0,15626.92,97.0,3200.0,0.0,4.75
124,0.0,0.0,1165.0,0.0,22.0,249.0,3.0,2.0,2328.0,45308.0,5.0,766.0,20212.25,20000.0,1000.0,b'LOAN',60.0,19347.25,97.0,6000.0,1.0,4.75
125,0.0,1.0,1166.0,1.0,17.0,84.0,5.0,2.0,594.0,9990.0,6.0,641.0,18690.34,14450.0,4000.0,b'LEASE',60.0,18690.34,129.0,4205.06,1.0,1.0
126,0.0,0.0,1168.0,0.0,18.0,488.0,8.0,6.0,7955.0,23556.0,34.0,667.0,5538.1900000000005,0.0,0.0,b'LOAN',60.0,5578.1900000000005,101.0,1599.0,0.0,4.75
127,0.0,1.0,1169.0,12.0,35.0,318.0,7.0,3.0,5772.0,9311.0,62.0,611.0,23303.0,20898.0,0.0,b'LEASE',63.0,25131.3,120.0,2300.0,0.0,1.0
128,0.0,0.0,1170.0,1.0,14.0,193.0,6.0,3.0,2011.0,1103.0,100.0,684.0,20566.170000000002,23475.0,815.58,b'LEASE',60.0,20295.59,90.0,0.0,0.0,4.75
129,0.0,0.0,1171.0,1.0,12.0,85.0,5.0,1.0,743.0,902.0,82.0,683.0,22467.0,25590.0,0.0,b'LEASE',60.0,21721.27,88.0,5000.0,0.0,4.75
130,0.0,0.0,1172.0,0.0,21.0,180.0,7.0,3.0,13025.0,16332.0,80.0,750.0,18659.0,19575.0,1365.0,b'LEASE',48.0,17294.63,88.0,5833.33,0.0,4.75
131,0.0,0.0,1173.0,5.0,9.0,124.0,5.0,1.0,35.0,35.0,100.0,664.0,20067.2,19425.0,383.93,b'LEASE',60.0,19683.27,101.0,2400.0,1.0,4.75
132,0.0,0.0,1174.0,0.0,5.0,50.0,,,,,0.0,635.0,19245.0,14500.0,4245.0,b'LEASE',51.0,19236.2,133.0,2750.0,1.0,4.75
133,0.0,1.0,1175.0,3.0,8.0,53.0,4.0,1.0,1452.0,1452.0,100.0,713.0,21093.91,10143.0,0.0,b'LEASE',63.0,21093.91,100.0,4333.33,0.0,1.0
134,0.0,0.0,1176.0,0.0,27.0,125.0,5.0,3.0,4189.0,19800.0,21.0,749.0,31720.0,34288.0,2397.39,b'LEASE',24.0,29322.61,86.0,2880.0,0.0,4.75
135,1.0,1.0,1177.0,5.0,8.0,154.0,2.0,1.0,433.0,933.0,46.0,653.0,23955.23,23056.0,753.88,b'LEASE',63.0,24132.350000000002,105.0,2800.0,0.0,1.0
136,0.0,0.0,1178.0,0.0,10.0,153.0,1.0,0.0,0.0,9000.0,0.0,779.0,20081.0,20000.0,5000.0,b'LOAN',66.0,15216.81,76.0,2300.0,1.0,4.75
137,0.0,0.0,1179.0,0.0,4.0,297.0,,2.0,5287.0,13700.0,39.0,751.0,16484.98,15200.0,4817.98,b'LOAN',60.0,11819.0,78.0,2848.0,1.0,4.75
138,1.0,1.0,1180.0,1.0,13.0,143.0,6.0,4.0,1637.0,2693.0,61.0,656.0,23720.19,22351.0,0.0,b'LEASE',63.0,23720.19,106.0,3413.33,0.0,1.0
